,0,1,2,3,4
0,,,,,DEA_A
1,,,,,DEA_B
2,DEC_A,,,,
3,,,,,DEC_B
4,,,,FER_A,
5,,,,FER_B,
6,,,,,MEA
7,,,,,MIC
8,,NIL,,,
9,ODO,,,,
10,,,,,PEN_A
11,,,,,PEN_B
12,,,,POL,
13,,SEN_A,,,
14,,SEN_B,,,
15,,SEN_C,,,
16,,SEN_D,,,
17,,SEN_E,,,
18,,SEN_F,,,
19,,SEN_G,,,
20,,SEN_H,,,
21,SEY_A,,,,
22,SEY_B,,,,
23,SEY_C,,,,
24,SEY_D,,,,
25,SEY_E,,,,
26,SEY_F,,,,
27,SEY_G,,,,
28,SEY_H,,,,
29,SEY_I,,,,
30,,,SEY_L,,
31,STEN,,,,
32,TOR,,,,
33,UNK_1,,,,
34,,,,,UNK_2
35,UNK_3,,,,
36,UNK_4,,,,
37,VES,,,,
